time,n0v,n1v
47.9,-53.9099,-69.9882
48,-53.9149,-69.987
48.1,-53.9169,-69.986
48.2,-53.9166,-69.9833
48.3,-53.9224,-69.9841
48.4,-53.9216,-69.9796
48.5,-53.9227,-69.9776
48.6,-53.9211,-69.9752
48.7,-53.9199,-69.9708
48.8,-53.9214,-69.9653
48.9,-53.9245,-69.963
49,-53.926,-69.9619
49.1,-53.9286,-69.9551
49.2,-53.9261,-69.9488
49.3,-53.9246,-69.9442
49.4,-53.9249,-69.9375
49.5,-53.9257,-69.9335
49.6,-53.9289,-69.9308
49.7,-53.9333,-69.9262
49.8,-53.9354,-69.9227
49.9,-53.9368,-69.9168
50,-53.9393,-69.9068
50.1,-53.9427,-69.903
50.2,-53.9438,-69.8978
50.3,-53.9464,-69.894
50.4,-53.9501,-69.8914
50.5,-53.9563,-69.8828
50.6,-53.9563,-69.8779
50.7,-53.9594,-69.8734
50.8,-53.9636,-69.8661
50.9,-53.9699,-69.8623
51,-53.9676,-69.8579
51.1,-53.9706,-69.8555
51.2,-53.9725,-69.8537
51.3,-53.9741,-69.8444
51.4,-53.9794,-69.835
51.5,-53.9827,-69.8293
51.6,-53.9857,-69.8243
51.7,-53.9846,-69.8212
51.8,-53.986,-69.815
51.9,-53.9905,-69.8087
52,-53.9905,-69.8001
52.1,-53.9932,-69.7938
52.2,-53.9947,-69.7829
52.3,-53.9985,-69.7744
52.4,-54.0038,-69.7701
52.5,-54.0053,-69.7637
52.6,-54.0125,-69.7586
52.7,-54.0166,-69.7547
52.8,-54.0149,-69.7483
52.9,-54.0174,-69.7389
53,-54.0249,-69.7303
53.1,-54.0277,-69.7196
53.2,-54.0327,-69.7104
53.3,-54.0299,-69.7043
53.4,-54.0317,-69.6955
53.5,-54.037,-69.6919
53.6,-54.0378,-69.6871
53.7,-54.0389,-69.6794
53.8,-54.0425,-69.6712
53.9,-54.0461,-69.6626
54,-54.0485,-69.6548
54.1,-54.0516,-69.6452
54.2,-54.0557,-69.634
54.3,-54.06,-69.6227
54.4,-54.0656,-69.6161
54.5,-54.0691,-69.6121
54.6,-54.0749,-69.6035
54.7,-54.0763,-69.5975
54.8,-54.0802,-69.5911
54.9,-54.0836,-69.5827
55,-54.0924,-69.5764
55.1,-54.0979,-69.5667
55.2,-54.1043,-69.5551
55.3,-54.1104,-69.5459
55.4,-54.1159,-69.5386
55.5,-54.1184,-69.5319
55.6,-54.124,-69.5214
55.7,-54.1314,-69.511
55.8,-54.1334,-69.5036
55.9,-54.1374,-69.4933
56,-54.1382,-69.4795
56.1,-54.1429,-69.4699
56.2,-54.1479,-69.4581
56.3,-54.1509,-69.4484
56.4,-54.1553,-69.4406
56.5,-54.1587,-69.431
56.6,-54.1638,-69.4199
56.7,-54.1685,-69.4127
56.8,-54.1726,-69.4043
56.9,-54.1779,-69.3942
57,-54.1814,-69.383
57.1,-54.183,-69.3755
57.2,-54.1898,-69.3696
57.3,-54.1928,-69.3604
57.4,-54.1986,-69.3525
57.5,-54.2027,-69.3475
57.6,-54.2087,-69.3383
57.7,-54.2189,-69.3314
57.8,-54.2166,-69.32
57.9,-54.2217,-69.3097
58,-54.2275,-69.3009
58.1,-54.2321,-69.2884
58.2,-54.2359,-69.2769
58.3,-54.2412,-69.2677
58.4,-54.2459,-69.254
58.5,-54.2516,-69.2439
58.6,-54.2609,-69.2309
58.7,-54.2656,-69.2194
58.8,-54.2642,-69.2077
58.9,-54.2725,-69.1929
59,-54.2778,-69.1864
59.1,-54.2833,-69.172
59.2,-54.2925,-69.1616
59.3,-54.293,-69.1519
59.4,-54.3006,-69.1394
59.5,-54.3065,-69.1249
59.6,-54.3132,-69.1138
59.7,-54.3169,-69.1039
59.8,-54.3216,-69.0916
59.9,-54.3237,-69.0808
60,-54.3249,-69.0734
60.1,-54.3246,-69.0599
60.2,-54.3291,-69.0474
60.3,-54.335,-69.0333
60.4,-54.3431,-69.021
60.5,-54.3516,-69.0098
60.6,-54.3523,-68.9979
60.7,-54.3567,-68.9817
60.8,-54.3586,-68.9676
60.9,-54.3616,-68.9547
61,-54.3618,-68.9427
61.1,-54.3683,-68.9291
61.2,-54.3706,-68.9166
61.3,-54.3711,-68.9022
61.4,-54.373,-68.8908
61.5,-54.3744,-68.8798
61.6,-54.3817,-68.8632
61.7,-54.3837,-68.8499
