time,n0v,n1v
67.3,-68.2655,-68.9461
67.4,-68.2065,-68.9086
67.5,-68.1489,-68.8721
67.6,-68.092,-68.8367
67.7,-68.0356,-68.7994
67.8,-67.9772,-68.7615
67.9,-67.9195,-68.7274
68,-67.8624,-68.689
68.1,-67.8053,-68.6537
68.2,-67.7491,-68.6196
68.3,-67.6925,-68.5854
68.4,-67.6356,-68.5516
68.5,-67.579,-68.5159
68.6,-67.5216,-68.4834
68.7,-67.4662,-68.4511
68.8,-67.4107,-68.4181
68.9,-67.3545,-68.387
69,-67.298,-68.3558
69.1,-67.2418,-68.3244
69.2,-67.1871,-68.2897
69.3,-67.1323,-68.2586
69.4,-67.0769,-68.2282
69.5,-67.0226,-68.1978
69.6,-66.9687,-68.1662
69.7,-66.9151,-68.1379
69.8,-66.8614,-68.1064
69.9,-66.8066,-68.077
70,-66.7532,-68.0467
70.1,-66.6994,-68.0178
70.2,-66.646,-67.9867
70.3,-66.5934,-67.9565
70.4,-66.5403,-67.9266
70.5,-66.4879,-67.898
70.6,-66.4355,-67.87
70.7,-66.383,-67.843
70.8,-66.3313,-67.8151
70.9,-66.2798,-67.7892
71,-66.2282,-67.7612
71.1,-66.1766,-67.7351
71.2,-66.125,-67.7093
71.3,-66.0737,-67.6842
71.4,-66.022,-67.6569
71.5,-65.9714,-67.6323
71.6,-65.9211,-67.6066
71.7,-65.8704,-67.5797
71.8,-65.8205,-67.5555
71.9,-65.7704,-67.5307
72,-65.7207,-67.5064
72.1,-65.6711,-67.4805
72.2,-65.6217,-67.4558
72.3,-65.5725,-67.4325
72.4,-65.5234,-67.4069
72.5,-65.4745,-67.3854
72.6,-65.4257,-67.364
72.7,-65.377,-67.3387
72.8,-65.3287,-67.3151
72.9,-65.2806,-67.2905
73,-65.2327,-67.2668
73.1,-65.185,-67.2449
73.2,-65.1375,-67.2224
73.3,-65.0902,-67.2002
73.4,-65.043,-67.1772
73.5,-64.996,-67.155
73.6,-64.9492,-67.134
73.7,-64.9027,-67.1114
73.8,-64.8563,-67.089
73.9,-64.8101,-67.0679
74,-64.7641,-67.0461
74.1,-64.7183,-67.0263
74.2,-64.6727,-67.0054
74.3,-64.6273,-66.9854
74.4,-64.582,-66.9656
74.5,-64.5368,-66.9451
74.6,-64.492,-66.9248
74.7,-64.4475,-66.9048
74.8,-64.4031,-66.8848
74.9,-64.3588,-66.8664
75,-64.3144,-66.8478
75.1,-64.2708,-66.8284
75.2,-64.2271,-66.8101
75.3,-64.1833,-66.7913
75.4,-64.1401,-66.773
75.5,-64.097,-66.7548
75.6,-64.054,-66.736
75.7,-64.0116,-66.7188
75.8,-63.9689,-66.7023
75.9,-63.9266,-66.6836
76,-63.8848,-66.6651
76.1,-63.8424,-66.6486
76.2,-63.8005,-66.6306
76.3,-63.7585,-66.6139
76.4,-63.7166,-66.5968
76.5,-63.6754,-66.5804
76.6,-63.6345,-66.5636
76.7,-63.5938,-66.5454
76.8,-63.5533,-66.5292
76.9,-63.5132,-66.5123
77,-63.473,-66.4955
77.1,-63.4327,-66.48
77.2,-63.3934,-66.4624
77.3,-63.3538,-66.4464
77.4,-63.3131,-66.4303
77.5,-63.2738,-66.4143
77.6,-63.2348,-66.3997
77.7,-63.1964,-66.3841
77.8,-63.1576,-66.3674
77.9,-63.1189,-66.352
78,-63.0804,-66.3377
78.1,-63.0423,-66.3227
78.2,-63.0037,-66.3086
78.3,-62.9656,-66.2931
78.4,-62.9275,-66.2783
78.5,-62.8889,-66.2631
78.6,-62.8517,-66.2485
78.7,-62.8144,-66.2356
78.8,-62.7774,-66.2208
78.9,-62.7402,-66.206
79,-62.7031,-66.1912
79.1,-62.6665,-66.1779
79.2,-62.6298,-66.1634
79.3,-62.5937,-66.1494
79.4,-62.5573,-66.1357
79.5,-62.5209,-66.1209
79.6,-62.4855,-66.1073
79.7,-62.45,-66.0937
79.8,-62.4146,-66.0804
79.9,-62.3794,-66.0677
80,-62.3445,-66.0547
80.1,-62.3108,-66.0421
80.2,-62.2764,-66.029
80.3,-62.242,-66.0167
80.4,-62.2056,-66.0028
80.5,-62.1702,-65.9906
80.6,-62.1363,-65.9779
80.7,-62.1034,-65.9652
80.8,-62.0704,-65.9525
80.9,-62.0364,-65.9398
81,-62.0041,-65.9276
81.1,-61.9719,-65.9161
81.2,-61.9387,-65.9038
81.3,-61.9064,-65.8919
81.4,-61.8729,-65.88
81.5,-61.8397,-65.8687
81.6,-61.8082,-65.8569
81.7,-61.777,-65.8454
81.8,-61.7457,-65.8344
81.9,-61.7143,-65.8235
82,-61.6816,-65.8128
82.1,-61.651,-65.8019
82.2,-61.6196,-65.7904
82.3,-61.5891,-65.7786
82.4,-61.5585,-65.7669
82.5,-61.5269,-65.7564
82.6,-61.4969,-65.7454
82.7,-61.4655,-65.7349
82.8,-61.4357,-65.7246
82.9,-61.4053,-65.7143
83,-61.374,-65.7038
83.1,-61.3441,-65.6931
83.2,-61.3134,-65.6822
83.3,-61.2838,-65.6717
83.4,-61.2525,-65.6614
83.5,-61.2232,-65.6512
83.6,-61.1942,-65.6409
83.7,-61.1655,-65.6307
83.8,-61.1366,-65.6209
83.9,-61.1087,-65.6104
84,-61.0804,-65.6004
84.1,-61.0526,-65.5904
84.2,-61.0271,-65.5804
84.3,-60.9998,-65.5707
84.4,-60.9711,-65.5611
84.5,-60.9431,-65.5513
84.6,-60.9148,-65.5422
84.7,-60.887,-65.5329
84.8,-60.8594,-65.5235
84.9,-60.8329,-65.5145
85,-60.8068,-65.5053
85.1,-60.7814,-65.4961
85.2,-60.7537,-65.4869
85.3,-60.7283,-65.4779
85.4,-60.7021,-65.4689
85.5,-60.6741,-65.4596
85.6,-60.648,-65.4506
85.7,-60.6245,-65.4417
85.8,-60.5979,-65.4329
85.9,-60.5697,-65.4243
86,-60.5439,-65.4155
86.1,-60.5171,-65.4065
86.2,-60.4916,-65.3979
86.3,-60.4649,-65.3895
86.4,-60.4398,-65.381
86.5,-60.4125,-65.3727
86.6,-60.3876,-65.3642
86.7,-60.3623,-65.3559
86.8,-60.3382,-65.3474
86.9,-60.3136,-65.3392
87,-60.2902,-65.3308
87.1,-60.2669,-65.3228
87.2,-60.2433,-65.3148
87.3,-60.218,-65.3068
87.4,-60.1935,-65.2991
87.5,-60.17,-65.2911
87.6,-60.146,-65.2831
87.7,-60.1224,-65.2755
87.8,-60.0986,-65.2678
87.9,-60.0751,-65.2601
88,-60.0526,-65.2528
88.1,-60.0294,-65.2453
88.2,-60.0075,-65.2376
88.3,-59.985,-65.2304
88.4,-59.9644,-65.2231
88.5,-59.942,-65.2155
88.6,-59.9201,-65.208
88.7,-59.8969,-65.2009
88.8,-59.8761,-65.1937
88.9,-59.8533,-65.1864
89,-59.832,-65.1793
89.1,-59.8106,-65.1723
89.2,-59.7906,-65.1652
89.3,-59.7666,-65.1582
89.4,-59.7439,-65.1511
89.5,-59.7239,-65.144
89.6,-59.7032,-65.1372
89.7,-59.6827,-65.1303
