time,n0v,n1v
43.9,-50.5298,-70.0806
44,-50.48,-70.0781
44.1,-50.4268,-70.079
44.2,-50.3725,-70.0787
44.3,-50.3149,-70.0775
44.4,-50.2567,-70.0786
44.5,-50.1977,-70.0817
44.6,-50.1374,-70.0841
44.7,-50.074,-70.0816
44.8,-50.0157,-70.0841
44.9,-49.95,-70.079
45,-49.8866,-70.077
45.1,-49.8205,-70.0757
45.2,-49.751,-70.0717
45.3,-49.6806,-70.0686
45.4,-49.6042,-70.0694
45.5,-49.5279,-70.0666
45.6,-49.4477,-70.0607
45.7,-49.3634,-70.0605
45.8,-49.281,-70.0605
45.9,-49.1984,-70.0599
46,-49.1085,-70.06
46.1,-49.0185,-70.0548
46.2,-48.9167,-70.0504
46.3,-48.8161,-70.045
46.4,-48.7088,-70.0423
46.5,-48.5986,-70.0429
46.6,-48.4892,-70.0393
46.7,-48.3745,-70.0329
46.8,-48.2485,-70.0309
46.9,-48.1195,-70.0286
47,-47.9889,-70.0289
47.1,-47.8536,-70.03
47.2,-47.7125,-70.0256
47.3,-47.5608,-70.0233
47.4,-47.3939,-70.02
47.5,-47.2204,-70.0124
47.6,-47.0308,-70.0064
47.7,-46.8342,-70.0013
47.8,-46.6244,-69.9954
47.9,-46.3983,-69.9882
48,-46.168,-69.987
48.1,-45.9151,-69.986
48.2,-45.6389,-69.9833
48.3,-45.3513,-69.9841
48.4,-45.0268,-69.9796
48.5,-44.677,-69.9776
48.6,-44.2889,-69.9752
48.7,-43.8627,-69.9708
48.8,-43.3961,-69.9653
48.9,-42.8784,-69.963
49,-42.2939,-69.9619
49.1,-41.6344,-69.9551
49.2,-40.8697,-69.9488
49.3,-39.9887,-69.9442
49.4,-38.9614,-69.9375
49.5,-37.7416,-69.9335
49.6,-36.2703,-69.9308
49.7,-34.4521,-69.9262
49.8,-32.1327,-69.9227
49.9,-29.0758,-69.9168
50,-24.8642,-69.9068
50.1,-18.6848,-69.9029
50.2,-8.9114,-69.8972
50.3,7.0936,-69.8155
50.4,29.2852,-69.6067
50.5,45.8787,-69.3954
50.6,50.5161,-69.1906
50.7,50.7454,-68.9895
50.8,50.0397,-68.789
50.9,48.875,-68.5944
51,47.3472,-68.4021
51.1,45.39,-68.2141
51.2,43.071,-68.029
51.3,40.4338,-67.842
51.4,37.4617,-67.6577
51.5,34.2554,-67.4781
51.6,30.8132,-67.3013
51.7,27.209,-67.1278
51.8,23.4627,-66.9553
51.9,19.6342,-66.7851
52,15.7962,-66.6162
52.1,11.9756,-66.4504
52.2,8.21929,-66.2855
52.3,4.54881,-66.1234
52.4,1.00899,-65.9643
52.5,-2.35822,-65.8073
52.6,-5.61064,-65.6541
52.7,-8.71335,-65.5062
52.8,-11.6972,-65.3646
52.9,-14.6663,-65.2299
53,-17.6811,-65.1024
53.1,-20.7947,-64.9818
53.2,-24.1544,-64.8679
53.3,-27.8807,-64.7602
53.4,-32.1985,-64.6588
53.5,-37.3017,-64.5627
53.6,-43.3152,-64.4721
53.7,-50.0971,-64.3871
53.8,-56.9564,-64.3073
53.9,-62.9899,-64.2324
54,-67.7904,-64.1619
54.1,-71.4601,-64.0962
54.2,-74.2312,-64.0351
54.3,-76.3097,-63.9781
54.4,-77.8588,-63.9239
54.5,-79.0068,-63.8728
54.6,-79.844,-63.8264
54.7,-80.4508,-63.7826
54.8,-80.8713,-63.7422
54.9,-81.1504,-63.7055
55,-81.3088,-63.6711
55.1,-81.3835,-63.6406
55.2,-81.3854,-63.6134
55.3,-81.3301,-63.5881
55.4,-81.2283,-63.5646
55.5,-81.092,-63.5434
55.6,-80.9188,-63.5257
55.7,-80.7162,-63.5101
55.8,-80.4992,-63.4957
55.9,-80.2606,-63.4842
56,-80.0108,-63.4758
56.1,-79.7426,-63.4679
56.2,-79.4632,-63.4624
56.3,-79.178,-63.458
